Mes,LOC,Classes,Metodos,Classes Deuses,Metodos Deuses
1,2154,9,137,0,0
2,2154,9,137,0,0
3,2154,9,137,0,0
4,2415,9,153,1,0
5,2384,9,150,1,0
6,2384,9,150,1,0
7,2539,9,160,2,1
8,2376,9,149,1,0
9,2385,9,149,1,0
10,2385,9,149,1,0
11,2097,7,123,0,0
12,2097,7,123,0,0
13,2094,7,123,0,0
14,2094,7,123,0,0
15,2130,7,126,0,0
16,2130,7,126,0,0
17,2193,7,124,0,0
18,2193,7,124,0,0
19,1950,7,111,0,0
20,1950,7,111,0,0
21,1950,7,111,0,0
22,1950,7,111,0,0
23,1950,7,111,0,0
24,1862,6,109,0,0
25,1868,6,110,0,0
26,1868,6,110,0,0
27,1868,6,110,0,0
28,1938,6,112,0,0
