"Mes","LOC","Classes","Metodos"
"1,59,1,5"
"1,892,3,68"
"1,138,1,10"
"1,182,1,6"
"1,182,1,7"
"1,701,2,41"
"2,59,1,5"
"2,892,3,68"
"2,138,1,10"
"2,182,1,6"
"2,182,1,7"
"2,701,2,41"
"3,59,1,5"
"3,892,3,68"
"3,138,1,10"
"3,182,1,6"
"3,182,1,7"
"3,701,2,41"
"4,59,1,5"
"4,1072,3,73"
"4,152,1,11"
"4,188,1,6"
"4,172,1,7"
"4,772,2,51"
"5,59,1,5"
"5,1044,3,70"
"5,152,1,11"
"5,188,1,6"
"5,172,1,7"
"5,769,2,51"
"6,59,1,5"
"6,1044,3,70"
"6,152,1,11"
"6,188,1,6"
"6,172,1,7"
"6,769,2,51"
"7,66,1,6"
"7,1038,3,69"
"7,156,1,11"
"7,200,1,6"
"7,180,1,11"
"7,899,2,57"
"8,82,1,7"
"8,1040,3,69"
"8,157,1,11"
"8,194,1,5"
"8,180,1,11"
"8,723,2,46"
"9,82,1,7"
"9,1041,3,69"
"9,157,1,11"
"9,194,1,5"
"9,184,1,11"
"9,727,2,46"
"10,82,1,7"
"10,1041,3,69"
"10,157,1,11"
"10,194,1,5"
"10,184,1,11"
"10,727,2,46"
"11,82,1,7"
"11,674,1,48"
"11,157,1,11"
"11,370,1,10"
"11,188,1,11"
"11,626,2,36"
"12,82,1,7"
"12,674,1,48"
"12,157,1,11"
"12,370,1,10"
"12,188,1,11"
"12,626,2,36"
"13,82,1,7"
"13,674,1,48"
"13,156,1,11"
"13,369,1,10"
"13,187,1,11"
"13,626,2,36"
"14,82,1,7"
"14,674,1,48"
"14,156,1,11"
"14,369,1,10"
"14,187,1,11"
"14,626,2,36"
"15,82,1,7"
"15,660,1,46"
"15,175,1,13"
"15,369,1,10"
"15,201,1,13"
"15,643,2,37"
"16,82,1,7"
"16,660,1,46"
"16,175,1,13"
"16,369,1,10"
"16,201,1,13"
"16,643,2,37"
"17,82,1,7"
"17,663,1,46"
"17,175,1,13"
"17,377,1,10"
"17,211,1,11"
"17,685,2,37"
"18,82,1,7"
"18,663,1,46"
"18,175,1,13"
"18,377,1,10"
"18,211,1,11"
"18,685,2,37"
"19,82,1,7"
"19,687,1,49"
"19,166,1,13"
"19,384,1,10"
"19,258,1,12"
"19,373,2,20"
"20,82,1,7"
"20,687,1,49"
"20,166,1,13"
"20,384,1,10"
"20,258,1,12"
"20,373,2,20"
"21,82,1,7"
"21,687,1,49"
"21,166,1,13"
"21,384,1,10"
"21,258,1,12"
"21,373,2,20"
"22,82,1,7"
"22,687,1,49"
"22,166,1,13"
"22,384,1,10"
"22,258,1,12"
"22,373,2,20"
"23,82,1,7"
"23,687,1,49"
"23,166,1,13"
"23,384,1,10"
"23,258,1,12"
"23,373,2,20"
"24,63,1,7"
"24,716,1,50"
"24,188,1,14"
"24,392,1,11"
"24,291,1,12"
"24,212,1,15"
"25,63,1,7"
"25,722,1,51"
"25,188,1,14"
"25,392,1,11"
"25,291,1,12"
"25,212,1,15"
"26,63,1,7"
"26,722,1,51"
"26,188,1,14"
"26,392,1,11"
"26,291,1,12"
"26,212,1,15"
"27,63,1,7"
"27,722,1,51"
"27,188,1,14"
"27,392,1,11"
"27,291,1,12"
"27,212,1,15"
